gid,state,lat,long
4233488,Maharashtra,20.7159,77.0166
4233489,Tamil Nadu,11.789,77.8011
4233490,Uttar Pradesh,27.5635,82.2156
4233491,Andhra Pradesh,13.2034,78.7437
4233492,Maharashtra,17.5246,74.1911
4233493,Uttar Pradesh,25.6882,82.4191
4233494,Karnataka,12.8604,75.4079
4233495,Tamil Nadu,12.3836,78.4114
4233496,Bihar,25.9648,84.537
4233497,Tamil Nadu,13.1747,79.612
4233498,Karnataka,16.0065,77.4659
4233499,Maharashtra,16.9912,73.3102
4233500,Dadra and Nagar Haveli,20.256,73.0071
4233501,Rajasthan,24.8619,72.3676
4233502,Uttar Pradesh,28.9526,77.7794
4233503,Uttar Pradesh,27.5603,78.6606
4233504,Tamil Nadu,11.4564,78.2654
4233505,Jharkhand,24.4373,84.8121
4233506,Maharashtra,19.4885,76.7329
4233507,Maharashtra,21.388,75.1066
4233508,Maharashtra,16.8528,74.5786
4233509,Karnataka,16.3666,75.0016
4233510,Jharkhand,24.3639,85.6484
4233511,Rajasthan,28.1108,76.8261
4233512,Kerala,10.2428,76.2633
4233513,Tamil Nadu,10.9464,78.4419
4233514,Tamil Nadu,10.6315,79.7166
4233515,Maharashtra,21.344,78.3369
4233516,Tamil Nadu,11.7897,77.8003
4233517,Uttar Pradesh,25.6981,80.0943
4233518,Tamil Nadu,10.9042,76.9622
4233519,Kerala,11.3737,75.8443
4233520,Maharashtra,17.7851,75.7136
4233521,Maharashtra,21.2764,78.5834
4233522,Telangana,17.9848,79.5228
4233523,Uttar Pradesh,29.3561,77.6366
4233524,Karnataka,13.9404,75.569
4233525,Gujarat,22.6931,72.8578
4233526,Haryana,28.1254,77.2292
4233527,Maharashtra,17.2542,74.1799
4233528,Gujarat,24.6152,71.3665
4233529,Uttarakhand,28.9241,79.702
4233530,Karnataka,13.2961,77.7982
4233531,Tamil Nadu,8.9561,77.31
4233532,Tamil Nadu,10.6637,79.4519
4233533,Tamil Nadu,10.2288,78.2254
4233534,Karnataka,13.3118,75.7746
4233535,Uttar Pradesh,27.2225,78.2405
4233536,Gujarat,24.5072,72.0277
4233537,Gujarat,23.0158,71.1865
4233538,Odisha,20.4665,85.8685
4233539,Andhra Pradesh,13.6235,79.4049
4233540,Odisha,20.8862,85.9527
4233541,Maharashtra,20.785,78.142
4233542,Uttar Pradesh,26.2668,83.0057
4233543,Punjab,30.6886,76.7327
4233544,Maharashtra,18.7957,73.3094
4233545,Tamil Nadu,12.9291,80.1134
4233546,Chhattisgarh,21.313,82.9973
4233547,Jharkhand,23.9242,86.3323
4233548,Uttar Pradesh,25.9417,80.602
4233549,Uttar Pradesh,28.9797,77.7089
4233550,Uttar Pradesh,27.1382,77.7821
4233551,Uttar Pradesh,28.0487,77.962
4233552,Madhya Pradesh,26.5629,78.7811
4233553,Karnataka,17.9153,77.5152
4233554,Maharashtra,21.0443,75.0602
4233555,Tamil Nadu,10.88,78.8173
4233556,Haryana,30.1539,77.2921
4233557,Uttar Pradesh,27.1727,80.8591
4233558,Karnataka,12.8988,77.8672
4233559,Gujarat,22.5626,71.8064
4233560,Bihar,25.2404,86.958
4233561,Uttar Pradesh,26.4746,80.295
4233562,Madhya Pradesh,26.4987,78.0025
4233563,Rajasthan,24.6807,72.1626
4233564,Maharashtra,15.9132,74.2972
4233565,Kerala,11.5664,75.6917
4233566,Madhya Pradesh,25.6788,76.6926
4233567,Karnataka,13.3249,75.7741
4233568,Maharashtra,18.649,73.7865
4233569,Gujarat,22.9951,72.6099
4233570,Kerala,11.4513,75.7711
4233571,Rajasthan,23.8318,73.6046
4233572,West Bengal,23.6781,86.8574
4233573,Tamil Nadu,10.9594,78.0765
4233574,Telangana,17.4985,78.3645
4233575,Odisha,18.3637,81.8878
4233576,Uttar Pradesh,25.4745,80.3348
4233577,Karnataka,12.1586,77.1127
4233578,Andhra Pradesh,14.5013,79.9852
4233579,Rajasthan,25.1469,77.0097
4233580,Karnataka,17.1795,77.2856
4233581,Madhya Pradesh,24.1169,82.6621
4233582,Telangana,17.2017,80.1201
4233583,Jharkhand,24.3959,87.0858
4233584,Uttar Pradesh,28.1707,80.9907
4233585,Uttar Pradesh,26.8531,80.9489
4233586,Andhra Pradesh,14.4053,79.9531
4233587,West Bengal,23.2406,87.8712
4233588,Telangana,17.6305,78.4855
4233589,Gujarat,24.187,72.0051
4233590,Uttar Pradesh,25.8856,80.7167
4233591,Karnataka,18.0524,77.2171
4233592,Bihar,25.7825,84.7427
4233593,Uttar Pradesh,27.2577,82.054
4233594,Jammu and Kashmir,34.5231,74.0888
4233595,Tamil Nadu,13.1115,79.9139
4233596,Uttar Pradesh,29.381,78.138
4233597,Uttar Pradesh,25.887,82.4489
4233598,Uttar Pradesh,25.3761,80.8294
4233599,Uttarakhand,28.9827,79.3597
4233600,Uttarakhand,29.0386,79.1875
4233601,Gujarat,22.102,71.419
4233602,Maharashtra,17.2479,74.9439
4233603,Gujarat,22.9897,71.4666
4233604,Maharashtra,17.2022,74.3487
4233605,Uttar Pradesh,28.8997,78.462
4233606,Goa,15.3994,73.8147
4233607,Madhya Pradesh,22.7236,75.8279
4233608,Maharashtra,20.2875,79.6533
4233609,Gujarat,20.671,73.2728
4233610,West Bengal,22.8384,88.6219
4233611,Uttar Pradesh,26.7823,82.152
4233612,Maharashtra,17.4433,74.5454
4233613,Madhya Pradesh,26.1958,78.1589
4233614,Rajasthan,27.0921,77.0789
4233615,Madhya Pradesh,22.2062,74.7557
4233616,Kerala,10.6483,76.5407
4233617,Maharashtra,17.7234,73.4187
4233618,Uttar Pradesh,26.1517,83.3301
4233619,Maharashtra,21.1143,79.0429
4233620,Jharkhand,23.668,86.0203
4233621,Uttar Pradesh,26.0532,83.1806
4233622,Uttar Pradesh,28.0136,81.5979
4233623,Odisha,20.1966,83.5188
4233624,Tamil Nadu,13.0705,80.1208
4233625,Jharkhand,22.6134,86.5232
4233626,Kerala,8.5139,77.0182
4233627,Tamil Nadu,9.4516,77.7916
4233628,Maharashtra,18.478,77.3724
4233629,Punjab,30.9112,76.193
4233630,Jammu and Kashmir,33.3731,74.3089
4233631,Uttar Pradesh,26.8439,80.8508
4233632,Maharashtra,17.0253,74.3705
4233633,Gujarat,23.0168,73.5218
4233634,West Bengal,24.6238,87.9154
4233635,Jharkhand,24.1767,86.286
4233636,Uttar Pradesh,25.4713,80.3367
4233637,Jharkhand,24.0927,84.6556
4233638,Maharashtra,19.719,73.6284
4233639,Uttar Pradesh,26.1494,81.8065
4233640,Uttar Pradesh,26.8613,77.6039
4233641,Maharashtra,20.11,77.1267
4233642,Jharkhand,23.4412,84.6912
4233643,Tamil Nadu,8.7292,77.6833
4233644,Uttar Pradesh,25.3986,80.4247
4233645,Tripura,24.0685,91.6044
4233646,Maharashtra,19.1851,77.3048
4233647,West Bengal,22.7232,88.4781
4233648,Maharashtra,20.9135,77.7635
4233649,Jharkhand,22.7862,84.657
4233650,West Bengal,26.5223,89.1994
4233651,Assam,26.2284,92.5202
4233652,West Bengal,24.2955,87.8368
4233653,Uttar Pradesh,29.5663,77.2413
4233654,Uttar Pradesh,27.5935,78.0551
4233655,Uttar Pradesh,25.0956,80.535
4233656,Rajasthan,27.0418,76.8243
4233657,Gujarat,22.8317,70.7833
4233658,Rajasthan,25.131,75.8244
4233659,Madhya Pradesh,23.2059,77.0955
4233660,Maharashtra,21.1804,79.8953
4233661,Tamil Nadu,11.1401,77.0365
4233662,Tamil Nadu,10.8576,79.4834
4233663,Uttar Pradesh,27.8911,79.256
4233664,Kerala,11.9383,75.7047
4233665,Himachal Pradesh,32.0431,76.4978
4233666,Uttar Pradesh,25.7874,83.6693
4233667,Tamil Nadu,10.1633,77.7608
4233668,Kerala,8.8957,76.6082
4233669,Punjab,30.7836,75.9552
4233670,Maharashtra,19.0012,74.446
4233671,Uttar Pradesh,25.9635,81.3928
4233672,Maharashtra,17.6003,74.833
4233673,Assam,26.4392,91.6208
4233674,Bihar,26.8074,84.5182
4233675,Odisha,20.1982,83.9141
4233676,Rajasthan,26.5045,77.0251
4233677,Odisha,20.7592,85.7953
4233678,Rajasthan,23.2553,74.2825
4233679,West Bengal,22.5627,88.3527
4233680,Tamil Nadu,13.0513,80.0966
4233681,Uttar Pradesh,27.0882,81.7129
4233682,Maharashtra,18.4309,77.4709
4233683,Gujarat,21.8619,73.6026
4233684,Uttar Pradesh,26.7711,81.109
4233685,Gujarat,22.9974,72.6067
4233686,Maharashtra,18.0848,73.4255
4233687,Maharashtra,21.2434,76.0371
4233688,Uttarakhand,29.8844,79.3497
4233689,Maharashtra,21.5657,77.5467
4233690,Kerala,9.6674,76.5541
4233691,Karnataka,14.4611,75.9316
4233692,Kerala,10.7277,76.0534
4233693,Rajasthan,24.8884,74.6344
4233694,Kerala,9.1718,76.4722
4233695,Uttar Pradesh,25.8017,81.3701
4233696,Uttar Pradesh,27.2497,83.279
4233697,Rajasthan,26.649,77.6128
4233698,Uttar Pradesh,28.8289,77.5711
4233699,Maharashtra,19.0308,72.8581
4233700,Madhya Pradesh,26.2035,78.1584
4233701,Gujarat,22.9602,72.6532
4233702,Rajasthan,29.7594,73.7337
4233703,Maharashtra,19.1635,72.8433
4233704,Odisha,21.5384,84.3892
4233705,Karnataka,16.2057,75.4976
4233706,Madhya Pradesh,21.4981,76.1727
4233707,Uttar Pradesh,25.7924,84.1958
4233708,Jharkhand,23.7582,86.4644
4233709,Uttar Pradesh,27.5321,81.5367
4233710,Maharashtra,19.0243,73.0229
4233711,Delhi,28.6417,77.0318
4233712,Karnataka,12.9834,77.602
4233713,Uttar Pradesh,25.9076,81.2699
4233714,Karnataka,12.3137,76.289
4233715,Madhya Pradesh,24.7606,78.8339
4233716,Madhya Pradesh,22.9656,76.0582
4233717,Kerala,11.2463,75.7835
4233718,Bihar,26.2135,86.1476
4233719,Maharashtra,19.019,73.0953
4233720,Uttar Pradesh,27.2754,83.0846
4233721,Uttar Pradesh,27.9161,80.8763
4233722,Tamil Nadu,9.9238,78.117
4233723,Jharkhand,24.6994,87.6207
4233724,Rajasthan,27.6144,75.1465
4233725,Gujarat,21.8906,71.8769
4233726,West Bengal,26.5201,89.2044
4233727,Bihar,25.4658,85.7013
4233728,Punjab,31.1278,75.4781
4233729,Tamil Nadu,8.9162,77.3815
4233730,Delhi,28.6965,77.2678
4233731,Uttar Pradesh,27.5058,79.2973
4233732,Manipur,24.8048,93.9344
4233733,Tamil Nadu,10.0315,78.3341
4233734,Maharashtra,19.3088,72.8539
4233735,Rajasthan,27.9534,75.3071
4233736,Assam,27.4,95.6173
4233737,Tamil Nadu,9.5424,78.5905
4233738,Uttar Pradesh,26.8043,79.5045
4233739,Rajasthan,25.7172,72.1631
4233740,Uttar Pradesh,26.7362,83.7037
4233741,Odisha,21.3344,83.6192
4233742,Maharashtra,20.8068,79.8285
4233743,Jharkhand,24.4391,86.9872
4233744,Goa,15.582,73.8257
4233745,Uttar Pradesh,26.3405,81.7328
4233746,Uttar Pradesh,27.5686,80.6771
4233747,Tamil Nadu,12.7196,77.8221
4233748,Maharashtra,16.5899,74.5812
4233749,Bihar,25.6109,85.1621
4233750,Uttar Pradesh,25.2102,83.3906
4233751,Kerala,9.4262,76.5621
4233752,Maharashtra,19.9837,79.9659
4233753,Karnataka,12.9797,77.6038
4233754,Haryana,28.4343,77.0592
4233755,West Bengal,22.8667,88.3719
4233756,Uttar Pradesh,25.9731,80.9623
4233757,Tamil Nadu,11.1355,79.0707
4233758,Maharashtra,18.2488,76.5049
4233759,Haryana,28.5745,76.4645
4233760,Uttar Pradesh,25.9277,80.9165
4233761,Gujarat,22.5598,73.2226
4233762,Uttar Pradesh,28.7887,78.5056
4233763,Uttar Pradesh,27.3438,80.2812
4233764,Haryana,30.3029,77.3036
4233765,Gujarat,22.748,72.6834
4233766,Bihar,25.175,85.5101
4233767,Uttar Pradesh,25.3078,81.0212
4233768,Himachal Pradesh,32.0576,76.0818
4233769,West Bengal,22.9207,88.3768
4233770,Uttar Pradesh,29.4457,77.3012
4233771,Uttar Pradesh,26.9305,81.1845
4233772,Rajasthan,27.5689,76.6134
4233773,Rajasthan,26.8742,77.7548
4233774,Kerala,10.1197,76.4188
4233775,Punjab,31.7986,75.1352
4233776,Andhra Pradesh,18.7448,84.0837
4233777,Madhya Pradesh,24.7293,81.4079
4233778,Uttar Pradesh,27.0015,79.8102
4233779,Kerala,11.895,75.8099
4233780,Jharkhand,23.0739,85.2808
4233781,Bihar,25.5016,84.9606
4233782,Karnataka,15.35,76.1639
4233783,West Bengal,22.6042,88.3689
4233784,Kerala,8.7158,76.7761
4233785,Karnataka,15.8947,74.5701
4233786,West Bengal,22.4542,88.3872
4233787,Bihar,25.8151,85.6927
4233788,Uttar Pradesh,27,82
4233789,Uttar Pradesh,28.1655,78.9545
4233790,Haryana,28.6033,76.6451
4233791,Uttarakhand,28.923,79.9647
4233792,Karnataka,14.6487,75.3034
4233793,Madhya Pradesh,22.1717,76.0664
4233794,Andhra Pradesh,12.7467,78.3376
4233795,Assam,26.4431,92.6526
4233796,Gujarat,22.9463,73.6313
4274636,Maharashtra,18.6646,75.6985
4233797,Haryana,29.3853,76.971
4233798,Gujarat,20.8899,70.4057
4233799,Uttar Pradesh,25.0038,81.9151
4233800,Rajasthan,23.5485,74.4441
4233801,Uttar Pradesh,25.4567,78.562
4233802,Jharkhand,24.304,85.4209
4233803,Delhi,28.5433,77.1292
4233804,Punjab,30.7516,75.7056
4233805,Jharkhand,24.4433,86.6411
4233806,Maharashtra,19.9043,75.3568
4233807,Bihar,25.5784,85.0463
4233808,Rajasthan,25.4834,74.9968
4233809,Karnataka,15.3273,76.3069
4233810,Rajasthan,26.8904,75.7695
4233811,Karnataka,14.6595,74.3056
4233812,Uttar Pradesh,26.4224,80.303
4233813,Tamil Nadu,10.7597,79.1272
4233814,Bihar,25.205,85.5244
4233815,Uttar Pradesh,26.4552,82.7713
4233816,Tamil Nadu,9.3621,78.8484
4233817,Kerala,10.0162,76.3614
4233818,Rajasthan,28.1832,75.4952
4233819,Karnataka,14.9016,76.3958
4233820,Punjab,30.4676,74.5014
4233821,West Bengal,26.8204,89.3829
4233822,Maharashtra,19.1316,72.8257
4233823,Uttar Pradesh,27.1517,79.4936
4233824,Uttar Pradesh,25.5142,80.9092
4233825,Uttar Pradesh,27.4435,78.4833
4233826,Puducherry,11.82,79.6492
4233827,Madhya Pradesh,22.7718,74.5911
4233828,West Bengal,22.7571,88.3426
4233829,Maharashtra,20.8563,79.8649
4233830,Madhya Pradesh,23.4355,75.2854
4233831,Odisha,21.7383,86.8424
4233832,Jharkhand,22.7758,86.1836
4233833,Punjab,31.8197,75.3739
4233834,Uttar Pradesh,25.5709,81.7399
4233835,Uttar Pradesh,25.7603,84.1545
4233836,Uttar Pradesh,26.4611,81.6151
4233837,Uttarakhand,30.2939,78.0584
4233838,Punjab,31.7489,75.1008
4233839,Uttar Pradesh,26.7515,83.3707
4233840,Uttar Pradesh,26.0106,82.9699
4233841,Haryana,29.7351,76.2745
4233842,Assam,27.4795,94.9046
4233843,Bihar,25.5616,84.8718
4233844,Uttar Pradesh,24.6979,83.0663
4233845,Uttar Pradesh,28.205,79.5426
4233846,Jharkhand,23.3709,85.3233
4233847,Madhya Pradesh,23.1206,81.6892
4233848,Maharashtra,17.5171,75.443
4233849,West Bengal,23.5421,87.9077
4233850,Maharashtra,20.1687,78.4845
4233851,Bihar,26.5322,85.1294
4233852,Uttar Pradesh,28.5195,80.1443
4233853,Karnataka,13.1878,74.9493
4233854,Karnataka,12.87,74.84
4233855,Maharashtra,19.9071,77.5691
4233856,Maharashtra,17.56,74.0473
4233857,Rajasthan,29.1042,75.1634
4233858,Jammu and Kashmir,33.6243,75.3732
4233859,Kerala,9.3836,76.3588
4233860,Jammu and Kashmir,34.0715,74.8235
4233861,Madhya Pradesh,24.474,82.5468
4233862,West Bengal,22.5247,88.3694
4233863,Maharashtra,20.9255,74.7716
4233864,Karnataka,14.2033,75.8126
4233865,Karnataka,16.3662,74.6817
4233866,Rajasthan,25.6043,73.6864
4233867,Gujarat,22.6287,73.4575
4233868,Uttar Pradesh,28.7305,77.7815
4233869,Karnataka,11.9274,76.9446
4233870,Maharashtra,19.4677,72.8163
4233871,Bihar,25.2614,85.5173
4233872,Gujarat,24.4896,71.8301
4233873,Gujarat,24.0402,71.9413
4233874,West Bengal,22.6381,88.3767
4233875,Tamil Nadu,12.7353,77.825
4233876,Karnataka,13.1356,78.1818
4233877,Himachal Pradesh,31.1532,76.9681
4233878,Gujarat,21.8686,73.5134
4233879,Karnataka,17.6241,77.2182
4233880,Kerala,11.2771,75.9352
4233881,Karnataka,12.3029,76.6849
4233882,Uttar Pradesh,25.3884,83.3812
4233883,Maharashtra,21.1816,73.9646
4233884,Assam,26.7121,92.2062
4233885,Odisha,19.357,84.9888
4233886,Uttar Pradesh,27.1675,80.3497
4233887,Tamil Nadu,11.0129,79.4789
4233888,Uttar Pradesh,25.1369,83.2966
4233889,Odisha,19.3581,84.9879
4233890,Odisha,18.7826,84.0895
4233891,Tamil Nadu,10.9992,76.9584
4233892,Maharashtra,19.1795,77.1946
4233893,Uttar Pradesh,27.4683,82.094
4233894,Gujarat,20.9385,70.539
4233895,Rajasthan,25.1748,75.8526
4233896,West Bengal,22.9485,88.4428
4233897,West Bengal,22.8104,88.2235
4233898,Karnataka,12.6664,76.4719
4233899,Uttar Pradesh,25.5319,81.3731
4233900,Maharashtra,19.3949,76.0584
4233901,Bihar,25.9139,86.7871
4233902,Maharashtra,17.2854,75.4962
4233903,Himachal Pradesh,31.5829,76.3357
4233904,Assam,26.4447,92.0292
4233905,West Bengal,22.5035,88.3451
4233906,Punjab,30.4923,76.599
4233907,Rajasthan,27.231,74.9821
4233908,Himachal Pradesh,31.8313,76.5113
4233909,Bihar,26.2457,87.5465
4233910,Uttar Pradesh,25.6048,83.3984
4233911,Maharashtra,17.6936,73.9875
4233912,Maharashtra,20.6073,74.5064
4233913,Bihar,27.0915,84.0955
4233914,Tamil Nadu,10.378,78.8211
4233915,Himachal Pradesh,32.5548,76.125
4233916,Gujarat,22.4801,70.0507
4233917,Uttar Pradesh,25.9322,81.696
4233918,Uttar Pradesh,28.8336,77.5746
4233919,Karnataka,16.2073,77.3551
4233920,Haryana,30.1371,77.296
4233921,Jharkhand,24.2659,86.6457
4233922,Tamil Nadu,10.7506,79.1163
4233923,Maharashtra,18.5029,73.8205
4233924,Kerala,9.9839,76.278
4233925,Jharkhand,23.8596,86.8805
4233926,Bihar,25.5049,86.4704
4233927,Rajasthan,27.5163,76.3012
4233928,Kerala,9.9259,77.0603
4233929,Karnataka,16.9417,76.9962
4233930,Kerala,8.9284,76.9114
4233931,Rajasthan,25.1339,73.317
4233932,Gujarat,23.1575,73.2171
4233933,Bihar,24.9057,84.1838
4233934,Maharashtra,16.0091,73.6874
4233935,Maharashtra,19.4155,72.8237
4233936,Jharkhand,25.0248,87.3211
4233937,Tamil Nadu,11.7588,79.7635
4233938,Andhra Pradesh,15.7593,77.4771
4233939,Uttar Pradesh,26.4552,80.7632
4233940,Bihar,25.4673,86.1703
4233941,Rajasthan,26.301,74.7352
4233942,Rajasthan,24.1124,73.8753
4233943,Jharkhand,24.3553,85.3393
4233944,Haryana,29.4151,74.7799
4233945,Delhi,28.6709,77.303
4233946,Chhattisgarh,20.6327,82.0607
4233947,Assam,26.3572,92.324
4233948,Punjab,30.1738,74.3103
4233949,Bihar,25.7124,85.5401
4233950,West Bengal,23.6921,86.9521
4233951,Maharashtra,19.2664,72.968
4233952,Jharkhand,22.9181,86.0121
4233953,Jharkhand,23.6342,85.5123
4233954,Uttar Pradesh,26.955,79.7864
4233955,West Bengal,24.1859,88.1505
4233956,Haryana,29.3396,77.0848
4233957,Maharashtra,19.1199,73.9746
4233958,Punjab,31.5129,75.8995
4233959,Rajasthan,28.1434,75.5598
4233960,Uttar Pradesh,25.4976,80.2439
4233961,Kerala,9.9684,77.1491
4233962,Kerala,11.9825,75.3135
4233963,Maharashtra,20.3871,78.1242
4233964,Rajasthan,27.1891,76.8173
4233965,Rajasthan,27.6963,74.4689
4233966,Maharashtra,19.9533,73.8383
4233967,Jharkhand,22.618,84.5025
4233968,Rajasthan,27.8133,74.4392
4233969,Kerala,9.0922,76.5159
4233970,Punjab,32.0371,75.4047
4233971,Assam,24.6862,92.5579
4233972,Tripura,23.5277,91.6568
4233973,Jharkhand,24.8582,87.7705
4233974,Uttar Pradesh,27.8809,80.9561
4233975,Tamil Nadu,11.6803,78.1612
4233976,Kerala,9.8963,76.7103
4233977,Uttar Pradesh,28.1364,78.9175
4233978,Haryana,30.376,76.7716
4233979,Odisha,21.3533,85.7723
4233980,Karnataka,14.8281,76.6245
4233981,Rajasthan,26.5024,76.5402
4233982,Dadra and Nagar Haveli,20.2707,73.0055
4233983,Maharashtra,19.2378,73.0415
4233984,Gujarat,24.2991,71.7319
4233985,Karnataka,17.8924,77.3275
4233986,Karnataka,16.2049,77.3562
4233987,Rajasthan,27.5833,76.8146
4233988,Tamil Nadu,8.737,77.5233
4233989,Uttar Pradesh,27.2106,81.2727
4233990,Jharkhand,23.4373,84.6818
4233991,Maharashtra,21.0762,75.7858
4233992,Maharashtra,21.1668,79.6488
4233993,Karnataka,14.8282,76.2212
4233994,Uttar Pradesh,25.9789,81.0562
4233995,Rajasthan,27.1916,73.7379
4233996,Kerala,9.2225,76.7019
